"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Bird I., Marion, MA",1572,1473,1547,1728,1375,1319,1238,1250,996,1179,1113,1148,1130,1062,505,904,554,680,1111,919,747,708,735,937,814,772,1121,1127
"Breezy Point, Queens City, NY",0,0,0,0,0,2,2,2,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cedar Beach, Babylon, NY",93,66,94,120,80,51,58,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dead Neck-Sampsons I., MA",13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duck I., CT",2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E. Inlet I., Brookhaven, NY",2,40,20,6,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Falkner I., CT",157,96,150,149,107,130,123,125,135,136,115,110,110,95,65,45,37,44,62,54,32,28,45,48,36,26,21,36
"Gardiners I.-Cartwright Pt., NY",0,0,0,0,0,4,14,0,1,5,0,2,0,65,156,155,248,90,80,216,27,27,0,0,0,0,0,0
"Gardiners I., NY",0,0,0,0,0,0,0,0,0,0,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gardiners Point I. (Fort Tyler), NY",0,0,0,0,0,0,0,157,4,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Goose Flat, Babylon, NY",0,0,0,0,0,0,0,0,0,9,16,1,2,4,1,0,11,11,25,2,1,0,0,0,0,0,0,0
"Great Gull I., NY",1004,960,1026,1204,964,1040,1138,1056,1064,1455,1690,1747,1762,1562,1505,1613,1352,1195,1227,1546,1288,1413,1303,1439,1596,1543,1459,1659
"Greater Greenbacks I., Southampton, NY",0,2,0,0,0,0,0,0,0,2,2,0,0,4,1,0,0,0,2,2,2,2,0,0,0,0,0,0
"Haystack Point, MV, MA",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hicks I., E. Hampton, NY",0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lanes I., Southampton, NY",0,0,0,6,16,12,35,59,36,16,32,14,18,5,0,4,4,2,0,2,0,0,0,0,0,0,0,0
"Little Beach, MV, MA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Menemsha Pond, MV, MA",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muskeget I., Nantucket, MA",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muskeget sandbars, Nantucket, MA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nashawena I., Gosnold, MA",3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Norton Pt., MV, MA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,36,0,5,35,0,35
"Pattersquash I., Brookhaven, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Penikese I., Gosnold, MA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,9,76,48,102,66,43,37,34,9,0,20,23
"Ram I., Mattapoisett, MA",0,0,0,0,0,0,76,197,719,253,543,630,988,626,952,557,936,724,463,661,566,588,584,377,439,535,682,735
"Sexton I., Islip, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0
"Shore Rock, Ocean Pt., CT",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smith Point, Nantucket, Ma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tuxis I., CT",0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Warner Is., Southampton, NY",0,6,17,40,39,28,53,34,24,41,31,28,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"West End Jones Beach, Hempstead, NY",13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Young’s I., Smithtown, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
