"","Dead Neck-Sampsons I., MA","Haystack Point, MV, MA","Little Beach, MV, MA","Menemsha Pond, MV, MA","Norton Pt., MV, MA","Smith Point, Nantucket, Ma","Muskeget I., Nantucket, MA","Muskeget sandbars, Nantucket, MA","Bird I., Marion, MA","Ram I., Mattapoisett, MA","Nashawena I., Gosnold, MA","Penikese I., Gosnold, MA","Duck I., CT","Tuxis I., CT","Falkner I., CT","Shore Rock, Ocean Pt., CT","Great Gull I., NY","Gardiners Point I. (Fort Tyler), NY","Gardiners I., NY","Gardiners I.-Cartwright Pt., NY","Hicks I., E. Hampton, NY","Young’s I., Smithtown, NY","Warner Is., Southampton, NY","Lanes I., Southampton, NY","Greater Greenbacks I., Southampton, NY","E. Inlet I., Brookhaven, NY","Pattersquash I., Brookhaven, NY","Sexton I., Islip, NY","Cedar Beach, Babylon, NY","Goose Flat, Babylon, NY","West End Jones Beach, Hempstead, NY","Breezy Point, Queens City, NY"
"Dead Neck-Sampsons I., MA",0,25.9730642286254,25.067698921659,42.9215264770278,30.1628034141103,40.6342515185049,10.0019337012853,8.88331589143904,25.5377153933256,31.8614242326245,42.642336603857,46.821587059322,175.663497811584,186.071738724998,191.432730886507,144.604667669932,149.128099774046,154.265403517414,153.047696075854,155.583642755401,153.07385110976,148.942365807407,193.914351397165,196.003059124367,197.252439703444,216.048865872819,301.657327992387,259.172091984403,267.592906248008,271.419562567236,286.522763468433,318.92865503948
"Haystack Point, MV, MA",25.9730642286254,0,2.77984843135122,20.8320326178261,6.9499246411894,29.4431907311988,18.5815021844768,18.7364087249929,33.3430895534001,32.7592071788565,28.0373351208561,33.8054872119108,162.272840769669,173.1587510944,177.935764280432,131.223330430526,134.100033066779,138.311380479784,136.482892902841,137.79128666342,135.142835087236,130.497894263753,175.682465860357,177.659825003638,178.965653920596,197.976437552357,285.841205887456,241.311755169361,249.8521095453,253.79819037119,268.92194321613,301.932910953813
"Little Beach, MV, MA",25.067698921659,2.77984843135122,0,23.4521989410759,5.73013539267918,26.973250037207,18.5815021844768,18.529578892007,34.7003034702948,34.700076402893,30.7942717352996,36.5492882848902,165.041229672524,175.931193134589,180.701274491639,133.995404412372,136.846272171015,141.033314156429,139.186210291191,140.445131661041,137.791286663419,133.122655166695,178.301940839306,180.272830625367,181.581325963056,200.598688148749,288.544483133756,243.936904782776,252.481945416665,256.433265966499,271.556106006515,304.590951838774
"Menemsha Pond, MV, MA",42.9215264770278,20.8320326178261,23.4521989410759,0,23.7223756275165,46.2672099172528,33.271018321244,34.1578205324257,37.2922846800643,31.6224218789111,13.8992059507876,19.0125587407026,142.307940232586,153.30309083022,157.893644156915,111.396960407195,113.783063076756,117.775683795049,115.841493765829,116.999096951425,114.34209780054,109.672487687412,154.854367833033,156.829309907103,158.135999040485,177.149815080793,265.186769043134,220.486931696245,229.030579232878,232.981130491024,248.104050116145,281.146327042345
"Norton Pt., MV, MA",30.1628034141103,6.9499246411894,5.73013539267918,23.7223756275165,0,23.4684134635164,24.2480349569083,24.1284471086129,40.2102064487148,39.6810051938047,33.2876193764914,39.1400981620985,166.024228961548,177.007330030601,181.615286388521,135.090577848935,137.487249345545,141.395104119876,139.375853366566,140.253247374737,137.56537675774,132.748909689625,177.859458894329,179.790095716846,181.113845689363,200.161353911178,288.665847276686,243.500680107429,252.072459819959,256.056011995602,271.168881645641,304.356069889848
"Smith Point, Nantucket, Ma",40.6342515185049,29.4431907311988,26.973250037207,46.2672099172528,23.4684134635164,0,40.2208102757961,39.371945125823,59.5899055787096,61.1250567059572,56.7473477805488,62.6022678467613,188.055481184727,199.14335280969,203.524935771573,157.330794363627,159.103560401389,162.559997244153,160.256353115167,160.423883843575,157.682444006785,152.595144866237,197.356666418609,199.192487444754,200.545083443431,219.598728267804,309.101085013611,262.836849409949,271.451953102555,275.499987679259,290.565152711202,324.040991050271
"Muskeget I., Nantucket, MA",10.0019337012853,18.5815021844768,18.5815021844768,33.271018321244,24.2480349569083,40.2208102757961,0,1.38635385187069,19.9985055608993,24.2058244966833,32.6967784146097,37.0356575667382,166.364018971843,176.864474181814,182.132967574272,135.261925122311,139.551089958257,144.57725191311,143.289247093276,145.710380111491,143.187853752228,139.016926375177,184.024071423467,186.104873914727,187.359043099438,206.179207117002,292.067656528977,249.333413746384,257.767669503026,261.607013622348,276.715710967767,309.194190482629
"Muskeget sandbars, Nantucket, MA",8.88331589143904,18.7364087249929,18.529578892007,34.1578205324257,24.1284471086129,39.371945125823,1.38635385187069,0,21.1640068362594,25.5565829374925,33.9395712505816,38.338456228507,167.722454847831,178.229197741912,183.491103482945,136.617633296142,140.881251178266,145.889412607889,144.586996501131,146.975186526634,144.447915193026,140.259505266318,185.281521158493,187.359043099438,188.615175148922,207.444102102424,293.393655865709,250.608054583609,259.046251492476,262.889158620948,277.99922643204,310.494801762765
"Bird I., Marion, MA",25.5377153933256,33.3430895534001,34.7003034702948,37.2922846800643,40.2102064487148,59.5899055787096,19.9985055608993,21.1640068362594,0,8.87912814881272,28.7874359366203,30.0857105339883,152.989248783652,163.076793093113,168.711675572817,122.212951472989,127.705544753083,133.4295312512,132.690646017273,136.213796658462,133.863550691094,130.271076796396,174.517321093721,176.689116005146,177.876764308456,196.342548709563,279.872612354277,239.051004082644,247.337009159893,251.050792680537,266.082071063905,297.92197488787
"Ram I., Mattapoisett, MA",31.8614242326245,32.7592071788565,34.700076402893,31.6224218789111,39.6810051938047,61.1250567059572,24.2058244966833,25.5565829374925,8.87912814881272,0,21.1243700064383,21.5981115160388,144.775861239533,154.976672618863,160.521156766516,113.893232820652,119.16093445293,124.787436805444,123.981548809446,127.408512217879,125.045676598322,121.42106905745,165.728619750331,167.894361865389,169.087325359088,187.588112001833,271.462448785255,230.352100962682,238.656489279868,242.385716779139,257.429604967255,289.361855020444
"Nashawena I., Gosnold, MA",42.642336603857,28.0373351208561,30.7942717352996,13.8992059507876,33.2876193764914,56.7473477805488,32.6967784146097,33.9395712505816,28.7874359366203,21.1243700064383,0,5.85696522312626,135.096784874775,145.842597187947,150.826484716192,103.968379038046,107.552123430348,112.282804151121,110.835665504021,113.055526117873,110.518913468274,106.321122792691,151.347888017616,153.422128394419,154.680035692494,173.522343883669,259.910846623481,216.711585811137,225.163824698367,229.02152521512,244.137120701786,276.73504368431
"Penikese I., Gosnold, MA",46.821587059322,33.8054872119108,36.5492882848902,19.0125587407026,39.1400981620985,62.6022678467613,37.0356575667382,38.338456228507,30.0857105339883,21.5981115160388,5.85696522312626,0,129.886890471859,140.564791011379,145.635328974406,98.7496279238211,102.632607850216,107.557300326876,106.254445314584,108.79114890011,106.299590316869,102.266172086124,147.140084442021,149.242040041646,150.482811770967,169.24718833454,255.104418503194,212.352073650072,220.771319545922,224.599162869817,239.70366932476,272.158553271201
