"","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
"Bird I., Marion, MA",0.851,0.851,0.851,0.751,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
"Breezy Point, Queens City, NY",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Cedar Beach, Babylon, NY",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Dead Neck-Sampsons I., MA",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Duck I., CT",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"E. Inlet I., Brookhaven, NY",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Falkner I., CT",0.863,0.863,0.863,0.667,0.863,0.863,0.863,0.863,0.863,0.863,0.863,0.863,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805
"Gardiners I.-Cartwright Pt., NY",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Gardiners I., NY",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Gardiners Point I. (Fort Tyler), NY",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Goose Flat, Babylon, NY",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Great Gull I., NY",0.788,0.788,0.788,0.807,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822
"Greater Greenbacks I., Southampton, NY",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Haystack Point, MV, MA",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Hicks I., E. Hampton, NY",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Lanes I., Southampton, NY",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Little Beach, MV, MA",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Menemsha Pond, MV, MA",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Muskeget I., Nantucket, MA",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Muskeget sandbars, Nantucket, MA",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Nashawena I., Gosnold, MA",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
